augmentID,manufacturer,name,description,rarity,primarySlot,primaryStatMods,primaryStatValues,secondarySlots,secondaryStatMods,secondaryStatValues,uniqueMod,allowedAugmentQualities,equalQualityRoll,incompatibleWith,allowedFactions,forbiddenFactions,tags,additionalDescription,beforeCreationScript,afterCreationScript,combatScript,rightClickScript
vt_reactorOverdrive,Sindrian_Diktat,Reactor Overdrive,Removes '==unnecessary==' safety locks from the ships flux grid. This will put the reactor under more stress in exchange for a higher flux throughput.,40,REACTOR,"FLUX_DISSIPATION, VENT_RATE, CR_PEAK","20, 40 ,true, false | 10, 25, true, false | -15, -30, true, false",SYSTEM,"SYSTEM_REGEN, SYSTEM_COOLDOWN, OVERLOAD_DURATION","10, 20, true, false | -10, -20, true, false | 15, 30, false, false",,,,,,,,,,,,
vt_hardenedPlating,Hegemony,Hardened Plating,Strengthens the ships external armor plating,80,STRUCTURE,ARMOR_HEALTH,"10, 20, true, false",ENGINE,ENGINE_HEALTH,"30, 45, true, false",,,,,,,,,,,,
vt_shapedCharge,Mercenary,Shaped Charges,Modifies the internal forge of the ship to produce ammunition with ==improved anti-armor== capabilities.,30,SYSTEM,HIT_STRENGTH,"15, 25, true, false",WEAPON,"HIT_STRENGTH, PROJECTILE_SPEED","20, 30, true, false | -10, -20, false, false",,,,,,,,,,,,
vt_improvedCapacitor,Tritachyon,Improved Capacitors,Increases the damage output of energy based weapons.,60,WEAPON,ENERGY_DAMAGE,"10, 20, true, false",REACTOR,"FLUX_CAPACITY, EMP_DAMAGE_TAKEN","10, 20, true, false | -10, -15, true, false",,,,,,,,,,,,
vt_modulatingShield,Tritachyon,Modulating Shield Emitters,Reduces the overall damage taken by shields.,65,SHIELD,"SHIELD_ABSORPTION, SHIELD_UPKEEP","-7, -15, true, false | 20, 40, false, false","STRUCTURE, REACTOR","EMP_DAMAGE_TAKEN, OVERLOAD_DURATION, CRITICAL_MALFUNCTIONS","-20, -30, true, false | -15, -25, false, false | -20, -30, false, false",,,,,,,,,,,,
vt_fluxInjector,Independent,Flux Injector,Reroutes some of the ships generated flux back into its system for a small boost.,80,ENGINE,"ZERO_FLUX_SPEED, BURN_LEVEL, ENGINE_HEALTH","20, 30, true, false | 1, 2, false, false | -20, -30, false, false",REACTOR,"ZERO_FLUX_LIMIT, VENT_RATE, FLUX_DISSIPATION","1, 1, false, false | 10, 15, true, false | -10, -15, true, false",,,,,,,,,,,,
vt_durableFighters,Hegemony,Improved Fighter Hull,Reprograms the internal LPC forges to add additional hull plating to all fighters and drones manufactured by this carrier.,90,FLIGHT_DECK,"HULL_HEALTH, SHIP_ACCELERATION, SHIP_TURN","20, 30, true, false | -20, -30, true, false | -20, -30, true, false",,,,,,,,,,,,,,,
vt_thrusterUpgrade,Persean,Improved Fighter Thrusters,Reprograms the internal LPC forges to increase the speed of all fighters and drones manufactured by this carrier.,80,FLIGHT_DECK,"SHIP_MAX_SPEED, HULL_HEALTH","15, 20, true, false | -15, -20, true, false",,,,,,,,,,,,,,,
vt_temporalAccelerator,Tritachyon,Temporal Accelerator,"Generates a temporal field inside the ship, accelerating time flow on board.",15,SYSTEM,"TIME_MULT, CR_LOSS","3, 7.5, true, false | 15, 30, false, false",WEAPON,"BALLISTIC_ROF, ENERGY_ROF, MISSILE_ROF, WEAPON_HEALTH","7.5, 15, true, false | 7.5, 15, true, false | 7.5, 15, true, false | -30, -60, false, false",,,,,,,,,,,,
vt_engineRecolor,VoidTec,Custom Plume Colorizer,"Want to impress your opposing fleet commander? Try the all new '==Exhaust Colorizer==' for your ship and make him think about all the wrong decisions he made when fitting his ship, only to get vaporized by a Reaper-Torpedo mere seconds later.""",20,COSMETIC,,,,,,,CUSTOMISED,,,,,,Makes your engine flames change to your ==specified color==.,,,de.schafunschaf.voidtec.combat.scripts.fx.EngineRecolorEffect,de.schafunschaf.voidtec.util.ui.plugins.colorpicker.OpenColorPickerAction
